,n_ml0,n_ml1,md_steps,forces_rmse,forces_max,energy_rmse,energy_max
0,10,500,11508,95.42859130776745,659.4253414858408,0.5345523471389488,1.8721302509657107
1,10,400,979,97.25632274658365,658.2712436322872,0.5274233324597782,1.8701737307419535
2,10,300,5929,100.79448955610933,871.3826979121441,0.5890983241231699,2.3050418469356373
3,10,200,3513,105.61835509934882,956.0668213910158,0.6460116940617816,2.62390783400042
4,10,150,2225,109.86034561404134,1037.5327117621327,0.6671920352825575,2.6376107079559006
5,10,100,7975,117.13917891362402,1240.7190666849283,0.8372961029307441,3.0567174102179706
6,10,50,3511,135.015546879862,1758.0436600496396,0.968622953994228,3.566659627511399
7,250,500,13260,92.25504787790948,633.2343270786741,0.4949048565106877,1.4544003559858538
8,250,400,30912,93.15876165716439,635.251679499906,0.5057063466662697,1.6488726743555162
9,250,300,3130,94.43527886919237,626.0033645668032,0.5227805123977854,1.7690314692736138
10,250,200,1995,96.22538211339145,634.7003507872655,0.5337581396411927,1.9590228148445021
11,250,100,1481,99.18122379171128,751.0272650135566,0.5608061997315432,2.1264973417273723
12,250,50,23678,101.03509538699778,803.3965492858224,0.6259371703363223,1.9774037711613346
13,150,500,44607,93.11440456862302,638.0709205996177,0.5093467874544042,1.5562487425922882
14,150,400,50000,94.5129435557565,637.8416234919978,0.5691126389414483,1.9486340950534213
15,150,300,6507,96.15006567985189,628.4124688823413,0.5772225304805889,1.8876649363955949
16,150,200,5427,99.23494750608198,735.3697218512516,0.5707316727894542,1.9526719996647444
17,150,100,280,103.44439711833259,850.6331751406997,0.593954521901627,2.2975954982975964
18,150,50,8526,106.33881036769851,947.4012001568844,0.6292178587109468,2.481156319961883
19,200,500,50000,92.6245998202934,634.4804698677485,0.4948066016073994,1.6051736259832978
20,200,400,2548,93.80352544196576,653.7995272569888,0.4952251122342355,1.5760517796152271
21,200,300,32677,95.15351898775116,638.5834956037129,0.5277767599120314,1.647443052235758
22,200,200,50000,97.55829811138122,660.4076839990303,0.5500000491888949,2.040567486168584
23,200,100,36486,100.95560032894379,772.9195827894237,0.6838525364772771,2.5439282018342055
24,200,50,2630,103.29293285316979,842.5042089765411,0.6664463312512665,2.2540182849334087
25,50,500,49431,94.50141241840933,649.91552865933,0.5367933791059949,1.8010729383386206
26,100,50,853,111.47555581451263,1062.1519457246304,0.6857355931341004,2.7652857229986694
27,50,400,46817,96.26666507728827,646.5884782661656,0.5210231364954045,1.9058452985191252
28,50,300,34670,99.12002041262572,741.2685070056477,0.5709413601250937,2.328147694322979
29,50,200,17194,103.24089457697299,884.7670608807202,0.6055869387482383,2.2240208040748257
30,50,100,6514,111.42862247182693,1059.7692565221732,0.6921908166398579,2.805012795201037
31,50,50,6977,119.323252136118,1215.1883092658263,0.8187134252664978,2.947319951694226
32,100,500,50000,93.90397183052714,662.891819727542,0.493995891703162,1.6456957474292722
33,100,400,11533,95.30250856201803,640.1670152340093,0.5255271228608828,1.651409620710183
34,100,300,11414,97.55258698933386,664.7723485832362,0.5434252564588118,1.9552802866965067
35,100,200,1820,101.19218913852903,808.4417731733292,0.5893930236961992,2.4294710092362948
36,100,100,5946,106.51074603763898,956.9621958778926,0.6241877834728887,2.577580610435689
