configuration_index,similarities
0,0.9999992251396179
1,0.8712228536605835
2,0.863152801990509
3,0.8519426584243774
4,0.8510068655014038
5,0.8591092228889465
6,0.8553902506828308
7,0.8689559102058411
8,0.8655455708503723
9,0.8643400073051453
10,0.8592929244041443
11,0.8536925315856934
12,0.8612721562385559
13,0.8581082224845886
14,0.8606272339820862
15,0.8758963942527771
16,0.8618034720420837
17,0.8639743328094482
18,0.8570820093154907
19,0.8703001737594604
20,0.8796165585517883
21,0.8720303773880005
22,0.8645628094673157
23,0.8659641742706299
24,0.8702176809310913
25,0.9999992847442627
26,0.8642593026161194
27,0.8541039824485779
28,0.8710201978683472
29,0.869279146194458
30,0.8556161522865295
31,0.8581710457801819
32,0.8688456416130066
33,0.8623515963554382
34,0.8709669709205627
35,0.8632571697235107
36,0.8561630249023438
37,0.8820726871490479
38,0.8707854151725769
39,0.8608797788619995
40,0.8732372522354126
41,0.8725177645683289
42,0.8544468879699707
43,0.8690804243087769
44,0.8620663285255432
45,0.8572330474853516
46,0.873806893825531
47,0.8679524064064026
48,0.8726317286491394
49,0.857262372970581
50,0.8714432716369629
51,0.8607415556907654
52,0.8558666706085205
53,0.8695334792137146
54,0.8759332299232483
55,0.8608872890472412
56,0.8714343309402466
57,0.8642758131027222
58,0.8744887113571167
59,0.8601024150848389
60,0.8675584197044373
61,0.8559322953224182
62,0.8633180260658264
63,0.8579905033111572
64,0.8660494685173035
65,0.8631755113601685
66,0.872613251209259
67,0.8576070070266724
68,0.8654654622077942
69,0.9999991059303284
70,0.8684093952178955
71,0.8643515706062317
72,0.8645115494728088
73,0.8770698308944702
74,0.8558686375617981
75,0.867127001285553
76,0.8600648045539856
77,0.8713952302932739
78,0.8656876683235168
79,0.8739731311798096
80,0.8484430909156799
81,0.8739100098609924
82,0.8526914715766907
83,0.8573974370956421
84,0.85651034116745
85,0.8498636484146118
86,0.8725383877754211
87,0.8782945871353149
88,0.871432363986969
89,0.8653289079666138
90,0.8608973026275635
91,0.8543861508369446
92,0.875885546207428
93,0.8649993538856506
94,0.8712820410728455
95,0.8592807054519653
96,0.8683590292930603
97,0.8653920292854309
98,0.9999992847442627
99,0.8610368967056274
100,0.9999992251396179
101,0.8530157208442688
102,0.8636302947998047
103,0.8747779130935669
104,0.8520380854606628
105,0.8757462501525879
106,0.8601496815681458
107,0.8751276135444641
108,0.8553714752197266
109,0.8682039976119995
110,0.8619773387908936
111,0.8722865581512451
112,0.8700526356697083
113,0.8817890882492065
114,0.8723288774490356
115,0.8818992376327515
116,0.8801899552345276
117,0.8541596531867981
118,0.8639088273048401
119,0.8604415655136108
120,0.8520500659942627
121,0.8655436635017395
122,0.8572883009910583
123,0.8526961803436279
124,0.8637977838516235
125,0.8524506688117981
126,0.8506579995155334
127,0.8616384267807007
128,0.8573502898216248
129,0.8735647201538086
130,0.8495762348175049
131,0.846786618232727
132,0.8661676645278931
133,0.8637601137161255
134,0.8704383969306946
135,0.8463960886001587
136,0.8621698021888733
137,0.8572481870651245
138,0.851423442363739
139,0.8613923192024231
140,0.8623504638671875
141,0.854668378829956
142,0.8720774054527283
143,0.8717213273048401
144,0.9999992251396179
145,0.8590700030326843
146,0.86296147108078
147,0.8819885849952698
148,0.8682284355163574
149,0.8517555594444275
150,0.8709266185760498
151,0.8678892850875854
152,0.8593944311141968
153,0.8659499883651733
154,0.8906223773956299
155,0.8655611872673035
156,0.8658800721168518
157,0.8679388165473938
158,0.8469844460487366
159,0.8598012328147888
160,0.8824284076690674
161,0.8582103252410889
162,0.8603096008300781
163,0.8570497035980225
164,0.8906058073043823
165,0.8645474314689636
166,0.86490398645401
167,0.8649433851242065
168,0.8697142004966736
169,0.8565576076507568
170,0.8792511820793152
171,0.8733101487159729
172,0.8561618328094482
173,0.8718634247779846
174,0.8554735779762268
175,0.8623716235160828
176,0.8663612604141235
177,0.8735811114311218
178,0.897950291633606
179,0.8791103959083557
180,0.8599320650100708
181,0.8473575711250305
182,0.863288402557373
183,0.8548150062561035
184,0.8712044358253479
185,0.856988787651062
186,0.8746457695960999
187,0.8578269481658936
188,0.8510273098945618
189,0.8653321862220764
190,0.8507513999938965
191,0.8614188432693481
192,0.8668974041938782
193,0.8540319204330444
194,0.8484918475151062
195,0.8498818874359131
196,0.8644482493400574
197,0.8660338521003723
198,0.8611631989479065
199,0.8514935970306396
200,0.8648443222045898
201,0.8493061661720276
202,0.863501250743866
203,0.8697436451911926
204,0.8602379560470581
205,0.8636646866798401
206,0.861976146697998
207,0.8673616647720337
208,0.8625759482383728
209,0.8681215643882751
210,0.8638753294944763
211,0.8702215552330017
212,0.8633430600166321
213,0.8645028471946716
214,0.8547348976135254
215,0.8640477657318115
216,0.8584200143814087
217,0.8610069751739502
218,0.8636939525604248
219,0.8763948678970337
220,0.8735446929931641
221,0.8511072397232056
222,0.8695114254951477
223,0.8671798706054688
224,0.87496417760849
225,0.8593034148216248
226,0.8802599906921387
227,0.8576055765151978
228,0.8584664463996887
229,0.8653202652931213
230,0.8770644068717957
231,0.8431941270828247
232,0.8454349040985107
233,0.8521391153335571
234,0.8582097887992859
235,0.870631217956543
236,0.8527745604515076
237,0.8707227110862732
238,0.8578293323516846
239,0.8784899711608887
240,0.865009605884552
241,0.8598683476448059
242,0.8714050054550171
243,0.8661295771598816
244,0.8683449625968933
245,0.8500002026557922
246,0.8643248081207275
247,0.8743759989738464
248,0.863151490688324
249,0.869462251663208
250,0.8588429689407349
251,0.8517802357673645
252,0.8705211877822876
253,0.864633321762085
254,0.8657506108283997
255,0.8799828886985779
256,0.86473149061203
257,0.9999992251396179
258,0.8663154244422913
259,0.852530300617218
260,0.8570929169654846
261,0.8586036562919617
262,0.8639160990715027
263,0.8495311737060547
264,0.8634381294250488
265,0.8520912528038025
266,0.8634746074676514
267,0.8536760210990906
268,0.8561212420463562
269,0.8574310541152954
270,0.8740114569664001
271,0.8687604665756226
272,0.864561915397644
273,0.8515145182609558
274,0.8626744747161865
275,0.8588630557060242
276,0.8692740201950073
277,0.8666711449623108
278,0.8692079186439514
279,0.8717243075370789
280,0.847335934638977
281,0.9999992251396179
282,0.8540228009223938
283,0.8741661906242371
284,0.8834274411201477
285,0.8594167828559875
286,0.870558500289917
287,0.8708356022834778
288,0.8541871905326843
289,0.8680925965309143
290,0.8766526579856873
291,0.9999991059303284
292,0.8858683705329895
293,0.8637449145317078
294,0.8735021352767944
295,0.8691112995147705
296,0.8593104481697083
297,0.8580896258354187
298,0.8696257472038269
299,0.8622202277183533
300,0.8636969327926636
301,0.8531022667884827
302,0.858126699924469
303,0.8576695919036865
304,0.8660508394241333
305,0.855661928653717
306,0.85552978515625
307,0.8567971587181091
308,0.8770932555198669
309,0.8519894480705261
310,0.8506320714950562
311,0.8744635581970215
312,0.8692460060119629
313,0.8619031310081482
314,0.8554399609565735
315,0.8543673753738403
316,0.8505022525787354
317,0.8725072741508484
318,0.8572214245796204
319,0.8540976047515869
320,0.862174391746521
321,0.8480981588363647
322,0.8678330779075623
323,0.8536266088485718
324,0.8632848262786865
325,0.8766065835952759
326,0.8584613800048828
327,0.8630717396736145
328,0.8699312806129456
329,0.8679156303405762
330,0.8550577759742737
331,0.857357919216156
332,0.8718544840812683
333,0.8610140681266785
334,0.8662809729576111
335,0.8660166263580322
336,0.8539959788322449
337,0.8641707897186279
338,0.8730159401893616
339,0.857122540473938
340,0.8582533597946167
341,0.8540048599243164
342,0.8426420092582703
343,0.8650785088539124
344,0.8648054599761963
345,0.8501114845275879
346,0.8610221147537231
347,0.8506658673286438
348,0.860044002532959
349,0.8770832419395447
350,0.8535352349281311
351,0.8538874983787537
352,0.8700175285339355
353,0.8488283753395081
354,0.9999993443489075
355,0.8566523790359497
356,0.8560651540756226
357,0.8628730773925781
358,0.8561068773269653
359,0.8622947931289673
360,0.8687796592712402
361,0.8679569959640503
362,0.8671241402626038
363,0.8576238751411438
364,0.8607925772666931
365,0.8571726083755493
366,0.885006308555603
367,0.9999992251396179
368,0.8650937676429749
369,0.8484252691268921
370,0.8706330060958862
371,0.9999991059303284
372,0.8565839529037476
373,0.8645623326301575
374,0.8543118834495544
375,0.8613024950027466
376,0.8655215501785278
377,0.8644299507141113
378,0.8583067059516907
379,0.8671749234199524
380,0.8434113264083862
381,0.8621678352355957
382,0.8622881770133972
383,0.8696265816688538
384,0.8633861541748047
385,0.8659557700157166
386,0.8646537661552429
387,0.8674684762954712
388,0.8653531074523926
389,0.8575289845466614
390,0.8631507754325867
391,0.8678969144821167
392,0.8681401610374451
393,0.8614035248756409
394,0.8659056425094604
395,0.8631726503372192
396,0.8653437495231628
397,0.8593324422836304
398,0.8588119745254517
399,0.8713773488998413
400,0.8723722100257874
401,0.867119550704956
402,0.8671442270278931
403,0.8560963273048401
404,0.851876974105835
405,0.8715806007385254
406,0.8564990758895874
407,0.8625892400741577
408,0.8691587448120117
409,0.8661677241325378
410,0.8694451451301575
411,0.8544676303863525
412,0.8628039956092834
413,0.8673800826072693
414,0.8615794777870178
415,0.8654620051383972
416,0.8602368831634521
417,0.8593423366546631
418,0.8528244495391846
419,0.8531101942062378
420,0.8663553595542908
421,0.8533161878585815
422,0.8631980419158936
423,0.8664729595184326
424,0.8567796349525452
425,0.8655931949615479
426,0.8648767471313477
427,0.8690059185028076
428,0.8631291389465332
429,0.8723477721214294
430,0.8689393997192383
431,0.8631830215454102
432,0.8585060834884644
433,0.8620470762252808
434,0.8641147017478943
435,0.8547673225402832
436,0.8481166362762451
437,0.8591771721839905
438,0.8653982281684875
439,0.8500804305076599
440,0.855250358581543
441,0.8745735883712769
442,0.8584608435630798
443,0.8561431765556335
444,0.8494028449058533
445,0.8722647428512573
446,0.8752715587615967
447,0.8560069799423218
448,0.8616455793380737
449,0.8680278062820435
450,0.8547763824462891
451,0.8547489643096924
452,0.8595721125602722
453,0.8615845441818237
454,0.8592103123664856
455,0.8641110062599182
